"字段1","字段2_文本","字段2_链接","字段3_文本","字段3_链接","字段4","时间","字段5","时间1"
"1532","有用","javascript:;","貳貳叁","https://www.douban.com/people/38831791/","看过","2018-12-07","也别问DC粉儿了，就问你们刚从影院出来的，咱海王硬不硬？！咱海王猛不猛？！温子仁还拍下一集要不要？！！",
"1141","有用","javascript:;","二十二岛主","https://www.douban.com/people/48369193/","看过","2018-12-07","没有一些人吹的那么高，但足够精彩。温子仁没疯，他只是太会讲故事，太会知道如何调动观众的肾上腺素，无论是以前拍恐怖片、动作片，还是这次拍超级英雄片，什么时候该打斗，什么时候该落寞，什么时候该摆pose，什么时候该接吻，什么时候该逗比，他在这些已经程式化的东西中加入了自己的天马行空，于是我们跟随着海王和湄拉的脚步上天入地下海，从一个夺位权谋片生生变成了热血冒险片。不得不说这部的特效确实是目前能想到的最顶级的展现，各种奇观应有尽有。而海王的成长，也是战胜自卑接受使命的过程，甚至有几分东方武侠的风韵。只可惜故事本身太过套路，确实乏善可陈，只能以特效和热血来弥补了。",
"1051","有用","javascript:;","瓦力","https://www.douban.com/people/cyrus_wong/","看过","2018-12-04","还行，没吹得那么好，有点像强化娱乐性的海底版《黑豹》...故事线极其简单，打戏遍布扩成了143分钟的篇幅，对路人非常友好，不过这类过度炫目眼花缭乱的特效已经越看越麻木，什么海底《阿凡达》吹太过了，坐等《阿凡达2》的潘多拉海底世界吊打吧。7/10",
"1068","有用","javascript:;","小戴","https://www.douban.com/people/3489632/","看过","2018-12-07","咸水族的那个帝王蟹，好像很好吃的样子！",
"888","有用","javascript:;","Mr. Infamous","https://www.douban.com/people/misterinfamous/","看过","2018-12-04","大型海底捞现场，建议带一双筷子去看，毕竟海王他们都备了叉子。超爱的任达华和徐锦江演两父子，港片一代江湖。基德曼又美又帅，为了视觉平衡，抱谁都拍半身为妙，身为仙女级吃货，143分钟只吃一条金鱼。大多角色都有村炮亮相瞬间，长发角色能多甩两回。好些场景很棒，每一个鸡皮疙瘩都是物证。不知为什么海盗可以给自己做盔甲，但他分不清蝠鲼跟苍蝇。湄拉最后一句台词，非常欢乐今宵。不归迪士尼管，却给匹诺曹打了不少广告。看片前要做好放水蓄洪两手准备，不然他们进海出海时那种马桶抽水声会让你灵魂震颤。请欣赏权力的游戏＋海底总动员＋小美人鱼＋哪吒闹海＋星际迷航＋星球大战＋加勒比海盗＋斯巴达克斯＋妈妈咪呀＋罗拉快跑＋猜火车＋哥斯拉＋阿凡达＋侏罗纪世界＋驯龙高手+新白娘子传奇……可以的话就去看IMAX吧。",
"913","有用","javascript:;","rune1121","https://www.douban.com/people/41036146/","看过","2018-12-07","又翻身，dc的票房一直很好，好不好，自杀小队一亿多投资没国内市场近8亿刀票房，神奇女侠都是北美年度票房第二了，bvs也狂收近9亿刀票房，还要翻身。而且那是dc第一阶段，去看看当年惨烈的漫威第一阶段，就是今天，蚁人 奇异博士之流也就6亿左右票房，怎么没人喊仆街。所以别等了，有色眼镜一带加个双重标准，杠精找茬模式狂开，dc永远仆街，当然还要此地无银的说什么我是dc粉，对dc要求低之类巴拉巴拉，家仇国恨的，说实话真不像dc粉，倒是像漫威股东，何苦呢，到最后影响的是自己观影感受，可惜了好电影",
"748","有用","javascript:;","萨库拉","https://www.douban.com/people/iisakura/","看过","2018-12-07","一锅无聊的大杂烩。换汤不换药的故事，艳丽廉价的农家乐审美，以及徐锦江演超级英雄真的很难让人投入哎。",
"709","有用","javascript:;","乌鸦火堂","https://www.douban.com/people/dreamfox/","看过","2018-12-04","DC电影目前最佳，肌肉男就适合走中二路线，傻大个+毒舌美女的配置超赞，海后真美。雷神的世界体系+黑豹的故事，海王弟不如洛基萌，剧情比较无聊。温子仁也明白，所以动不动就用音效震你一跳，气氛张力是他的长项，海沟族那段好似恐怖片。特效炸裂，水下星战+指环王，奇观浩瀚，意大利跑酷最帅、结尾海怪大战年度最炫。PS，海王没变沙僧却成了孙悟空，龙宫寻宝，把三叉戟当金箍棒用。穿上盔甲就是玉米侠，或者海王金樽。单彩蛋",
"713","有用","javascript:;","楠说与延李","https://www.douban.com/people/133824715/","看过","2018-12-07","我收回妇联3的五颗星，文艺片才不分高下，商业片只争第一，今年第一，海王。瓦坎达野人方阵在海马禁军和克总触手、闸蟹狂战士面前没有一丁点排面，没有！泰坦星战士用虫海丧尸战术和铁人三项杀敌？多发展几万年全转基因紫薯去了？你打嘛呢弟弟？打不来架就不要打。啥叫格局，海王振臂一呼，诸天鱼虾蟹卒，听我号令，天不生我阿Q曼，DC万古如长夜，封狼烟，点海马禁军千骑，撒孜然百缕，随我先斩MCU后军贼首，得胜归来，共饮索尔神血，赏汝千杯！杀杀杀！DC干死漫威，亚特兰蒂斯万岁万岁万万岁！",
"544","有用","javascript:;","法兰西胶片","https://www.douban.com/people/flxjp/","看过","2018-11-27","温子仁完全疯了，主要是华纳也疯了。大概排序是这样的：新全面回忆→海底总动员1→猎杀潜航U571→龙虎门→2012→角斗士→夺宝奇兵1→速激5→指环王1→异形2→星际迷航3→侏罗纪公园3→星战前传2&3→诸神之怒，还有贯穿始终的70年代特摄美学，吓得威廉·达福都不敢放肆表演了。怎么说呢，所有港片迷也都得跪下，这是《封神传奇》膨胀一百倍后的样子。从电影主义出发是两颗星，但我会像喜欢《封神传奇》一样喜欢这部电影。",
